title,bias_score,reliability_score,article_url,adfontes_url,date,outlet,outlet_story_count
"COVID Delta variant puts men, people of color at risk, Biden official warns",-1.0,48.0,https://19thnews.org/2021/07/the-covid-delta-variant-puts-men-and-people-of-color-at-risk-biden-official-warns/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2021-07-02,19thnews.org,25
"Study finds spike in suicidal thoughts, self-harm during and after pregnancy",-7.0,44.0,https://19thnews.org/2020/11/new-research-finds-dramatic-growth-in-suicidal-thoughts-and-self-harm-during-and-after-pregnancy/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-11-18,19thnews.org,25
"Pregnant people excluded from Moderna, Pfizer COVID-19 vaccine trials",-3.33,43.67,https://19thnews.org/2020/11/pregnant-people-excluded-covid-vaccine-trials/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-11-17,19thnews.org,25
‘We’ve worked for it’: Barbara Lee on the future of Black women in leadership,-11.33,40.0,https://19thnews.org/2020/11/barbara-lee-future-of-black-women-in-leadership/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-11-14,19thnews.org,25
Kim Ng becomes the MLB's first female general manager,-3.83,47.5,https://19thnews.org/2020/11/kim-ng-mlb-first-female-general-manager/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-11-13,19thnews.org,25
Karen Bass addresses the question of filling Kamala Harris’ Senate seat,-6.0,44.83,https://19thnews.org/2020/11/karen-bass-addresses-question-of-filling-kamala-harris-senate-seat/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-11-13,19thnews.org,25
The spread of conspiracies and disinformation by women on social media,-4.83,47.0,https://19thnews.org/2020/10/19th-explains-women-disinformation-election-2020/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-10-19,19thnews.org,25
Kamala Harris is a complicated choice for LGBTQ+ people,-10.0,45.67,https://19thnews.org/2020/08/kamala-harris-complicated-lgbtq-choice/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-08-13,19thnews.org,25
Shirley Sherrod holds 'no ill will' against USDA nominee who ousted her,-10.0,46.0,https://19thnews.org/2020/12/shirley-sherrod-holds-no-ill-will-against-usda-nominee-who-ousted-her/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-12-11,19thnews.org,25
Biden under pressure to appoint first Native American to head Interior Department,-6.0,45.67,https://19thnews.org/2020/12/biden-under-pressure-to-appoint-first-native-american-to-head-interior-department/,https://adfontesmedia.com/19th-news-bias-and-reliability/,2020-12-11,19thnews.org,25
