,title,bias_score,reliability_score,article_url,adfontes_url,date,outlet,outlet_story_count,content
75,Comic-Con returns to New York City for hybrid event,0.0,45.0,https://www.newsnationnow.com/us-news/northeast/comic-con-returns-to-new-york-city-for-hybrid-event/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,"NEW YORK (NewsNation Now) — New York Comic Con returned Thursday after the coronavirus pandemic forced a year’s hiatus. But, the show, known for the eager crowds, will look very different this year. This year’s hybrid format includes panels and select events that can be viewed online. The four-day festival will still feature exclusive events and celebrity panels. Celebrities including “Star Trek”‘s William Shatner and George Takei and “The Suicide Squad”‘s John Cena will be on hand for other appearances and autographs. “Stranger Things’” David Harbour and Hayden Christensen from the “Star Wars” prequels and Jurnee Smollett from “Lovecraft Country” and “Birds of Prey” will be in attendance. Fans have been buzzing about the “Star Trek: Prodigy” event, where they’ll be able to see the first episode of the new “Star Trek” series a week before it airs on Paramount+. Due to the festival being held at Javits Convention Center in Manhattan, proof of vaccination is required to enter for those over age 12. Those under 12 must show proof of a negative COVID-19 test. Masking inside the venue will be mandatory. NYCC has also reduced capacity with wider aisles, enhanced cleaning and larger areas between creators. The San Diego Comic-Con is set to return in November."
76,"Dr. Anthony Fauci responds to criticism of Wuhan lab funding, release of thousands of his emails",3.67,44.0,https://www.newsnationnow.com/the-donlon-report/dr-anthony-fauci-responds-to-criticism-of-wuhan-lab-funding-release-of-thousands-of-his-emails/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-06-02,www.newsnationnow.com,25,"CHICAGO (NewsNation Now) — Dr. Anthony Fauci, one of the faces of the U.S. government’s response to the COVID-19 pandemic, responded to criticism of funding sent to a Chinese lab, the release of thousands of his emails, and the state of the pandemic in a wide-ranging interview Wednesday. You can watch Dr. Anthony Fauci’s full interview with Leland Vittert in the player above Dr. Fauci and the National Institutes of Health are facing scrutiny from Republican members of Congress and others over grant money paid to a lab in Wuhan, China in the early 2000s, as scientists increasingly question whether COVID-19 emerged from the lab. But Fauci said the research, which looked into the risk of bat coronaviruses being transmitted to humans, is being inappropriately connected to the Chinese military. “We’re not talking about the Communist Chinese party. We’re not talking about the Chinese military. We’re talking about scientists that we’ve had relationships for years,” Fauci said. The grant in question was given to a group called EcoHealth Alliance in 2002, which then paid the Wuhan Institute of Virology, which collects genetic material from wildlife and experiments with live viruses in animals to gauge human susceptibility. Fauci argued the amount of NIH funding which went to the lab was relatively low. “The Wuhan lab is a very large lab, to the tune of hundreds of millions if not billions of dollars — the grant that we’re talking about was $600,000 over five years,” Fauci said. To reduce the risk of pathogens escaping, the facility is supposed to enforce rigorous safety protocols, but even the strictest measures cannot eliminate such risks. While testifying before a Senate committee last Wednesday, Fauci acknowledged it wasn’t possible to tell if the grantee was lying about what the funds were used for, but said Wednesday the quality of reports issued by the lab suggested they were used appropriately. “I can’t guarantee everything that’s going on in the Wuhan lab, we can’t do that, but it is our obligation as scientists and public health individuals to study the animal-human interface because we had a very difficult experience that we lucked out that we didn’t get hurt too badly with the original SARS in 2002 and 2003,” Fauci said. Fauci said working with the lab was necessary in order to find out the potential for the viruses to infect humans, “which might then damage the United States.” “You don’t want to go to Hoboken, New Jersey or to Fairfax, Virginia to be studying the bat-human interface that may lead to an outbreak, so you go to China,” Fauci said. President Joe Biden has ordered American investigators to submit a report looking into the origins of COVID-19 within 90 days, and pledged to release the results of their findings publicly. China responded by accusing the U.S. of playing politics with the virus. Also this week, thousands of Fauci’s emails from early in the pandemic were released to news outlets including Buzzfeed and The Washington Post under a Freedom of Information Act request. They show Fauci’s communications with officials, reporters, celebrities and even concerned citizens as the pandemic unfolded. “The only trouble is they are really ripe to be taken out of context where someone can snip out a sentence in an email without showing the other emails and say, ‘based on an email from Dr. Fauci, he said such-and-such,” where you don’t really have the full context,” Fauci said. Looking ahead, Fauci said if the U.S. meets President Joe Biden’s goal of 70% of adults with at least one dose of the COVID-19 vaccine by Fourth of July, it will be a “giant step towards” returning to normal but the pandemic won’t be completely over. “Even though the virus is not going to disappear, it will diminish greatly as a public health threat, which means we can get closer to normality and we feel that by the time we get to the summer it will get better and better,” Fauci said."
77,Workers start looking for alternative jobs as Biden administration moves to clean energy,0.33,39.0,https://www.newsnationnow.com/politics/biden-100days/workers-start-looking-for-alternative-jobs-as-biden-administration-moves-to-clean-energy/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25,"GILLETTE, Wyo. (NewsNation Now) — If you show up to the Gillette, Wyoming Workforce Center any day of the week, you’ll meet people like Joe Clingan. “Right now I am unemployed. I don’t know for certain when I am going back. I have talked to the boss more than once,” Clingan said. Clingan is an electrician who was laid off from an oil field and is now looking for work. “Until they figure out this pandemic and what President Biden’s plans are, we don’t know if it is feasible to go back to work,” Clingan said. Wyoming is one of the top energy producing states in the nation, but the mining jobs have been disappearing. Wyoming lost 5,700 mining and logging jobs in just the last year. “It is really hard and it affects everyone in the county because these are well paying jobs,” Rick Masheim with the Workforce Center said. Mansheim said good mining jobs pay around $80,000 to $90,000 per year. There are not other industries in the area that pay nearly that without significant training. Miners in the area worry President Joe Biden’s new energy and climate change plans will make the unemployment situation even worse. The only option for many of the miners is to relocate, or come up with an entirely new career. Ray Burger is one the miners who reinvented himself. He worked at a mine for almost four decades. “It was 36 years, 10 months, and one week when the doors were closed at Black Jewel,” Burger said. Burger had experience on the mine rescue team and it led him to enroll in nursing school. “I’m not the first student from the mining experience who has gone into the nursing program. I’m not the last. I’m not even the oldest,” Burger said. Burger works the nightshift as a janitor at an elementary school to support his family, and then goes to nursing school at Gillette College during the day. It might sound like a lot — but he was used to working 12 to 14 hour shifts at the mine. “It isn’t necessarily that the miners are able to adapt, I think it is humans. We humans can adapt to change,” he said. The Workforce Center pays Burger’s tuition. They said other miners have had success going into construction and trucking jobs, but they are hoping to also attract factory and industrial jobs to the area."
78,Beto O’Rourke considering run for Texas governor,-2.33,40.33,https://www.newsnationnow.com/us-news/southwest/beto-orourke-considering-run-for-texas-governor/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,"EL PASO, Texas (NewsNation Now) —Former Congressman and 2020 Democratic presidential candidate Beto O’Rourke said he may enter the race to unseat Texas Gov. Greg Abbott next year. O’Rourke stated for the first time publicly that he’s considering a run for governor in 2022, during a radio interview on KLAQ’s “The Buzz Adams Morning Show” in El Paso Monday. “You know what, it’s something I’m going to think about,” he said near the end of 15-minute interview. O’Rourke suggested Gov. Abbott’s handling of the COVID-19 pandemic may affect his own thinking about getting into the race. “This state has suffered perhaps more than any other in the midst of this pandemic, in the midst of the worst recession since the Great Depression. It is particularly galling to me…that El Paso has in one of the hardest-hit states was, if not is, the hardest-hit city,” O’Rourke said. “So many people dying so quickly that you set up 10 mobile morgues. You have to call in the National Guard to haul the dead bodies, and you have a complete indifference on the part of Gov. Greg Abbott to what local leadership, including our county judge, Judge Samaniego, are trying to do to literally save the lives of the people in our lives,” added O’Rourke. O’Rourke, a Democrat, gained national attention when he narrowly lost the election to unseat Sen. Ted Cruz in 2018, finishing two percentage points behind the Republican incumbent. He also ran unsuccessfully for the Democratic presidential nomination and ended up endorsing President Joe Biden’s candidacy. Texas State University confirmed O’Rourke would begin teaching a Texas politics class during the spring 2021 semester. The University of Texas at Austin also shared O’Rourke would teach a seminar at the LBJ School of Public Affairs. O’Rourke echoed his earlier statements on Twitter Thursday after the interview. “Whether or not I run, I will do everything in my power to elect a Governor who looks out for everyone, keeps Texans safe, answers to the people instead of the special interests & guarantees that we all have equal opportunity to achieve our best in life,” O’Rourke said in a Twitter thread. NewsNation affiliate KXAN reached out Thursday afternoon to Abbott’s office for comment and had not heard back at the time of publication. According to reporting from The Texas Tribune, Abbott has said he is “100%” running for reelection but more recently breathed new life into long-lingering rumors he is thinking about a White House run. After 2022, Abbott said in a recent radio interview, “We’ll see what happens.” NewsNation affiliate KXAN contributed to this report."
79,Capitol Police bolstering travel security for lawmakers,-4.33,44.33,https://www.newsnationnow.com/politics/capitol-police-bolstering-travel-security-for-lawmakers/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,"WASHINGTON (NewsNation Now) — The Capitol Police are boosting security at Washington-area transportation hubs and taking other steps to fortify travel security for lawmakers in response to the fallout from the Capitol riots. Capitol Police will be stationed at area airports and Washington’s Union Station railway hub on busy travel days, the House’s chief law enforcement officer wrote in an email obtained Friday by The Associated Press. Timothy P. Blodgett, the acting sergeant at arms, wrote that officials were setting up an online portal so lawmakers can notify them of travel plans and urged legislators to report threats and suspicious activity. “Members and staff should remain vigilant of their surroundings and immediately report anything unusual or suspicious,” said the email, which was sent late Thursday. Blodgett’s letter said lawmakers have previously been advised that they can use office expense accounts to pay for security to protect their offices and events in their districts and protect themselves while they are performing official duties. It also cited a 2017 Federal Elections Commission opinion that they can use campaign contributions to install security systems at their homes. President Joe Biden is in “close touch” with House Speaker Nancy Pelosi, D-Calif., about congressional security, White House press secretary Jen Psaki said. Also Thursday, the acting chief of the Capitol Police said “vast improvements” are needed to protect the Capitol and adjacent office buildings, including permanent fencing. Such barricades have ringed the complex since the Jan. 6 riots, but many lawmakers have long resisted giving the nation’s symbol of democracy the look of a besieged compound, and leaders were noncommittal about the idea. The message was sent the same day House Speaker Nancy Pelosi told reporters that lawmakers face threats of violence and said money would be needed to improve security. Pelosi’s comments were a startling acknowledgment of escalating internal tensions between the two parties over safety since the Jan. 6 Capitol attack. Pelosi focused her comments on the anxiety and partisan frictions that have persisted in Congress since Trump supporters’ breach of the Capitol. She told reporters she thinks Congress will need to provide money “for more security for members, when the enemy is within the House of Representatives, a threat that members are concerned about.” Asked to clarify what she meant, Pelosi said, “It means that we have members of Congress who want to bring guns on the floor and have threatened violence on other members of Congress.” Some lawmakers who voted for this month’s House impeachment of Trump have reported receiving threats, and initial moves to enhance safety procedures have taken on clear partisan undertones. Some Republicans have objected to having to pass through newly installed metal detectors before entering the House chamber, while Pelosi has proposed fining lawmakers who bypass the devices. Pelosi did not say whom she meant by her reference to an “enemy” within the House, and a spokesperson provided no examples when asked. First-term Rep. Marjorie Taylor Greene, R-Ga., has also come under scrutiny this week for social media posts in recent years before she took office that supported violence against Democratic politicians, including Pelosi. Asked to comment, Greene sent a written statement accusing Democrats and journalists of attacking her because she is “a threat to their goal of Socialism” and supports Trump and conservative values. Yogananda D. Pittman, acting chief of the Capitol Police, said in a statement that based on security assessments by her agency and others, some changes should be lasting. “In light of recent events, I can unequivocally say that vast improvements to the physical security infrastructure must be made to include permanent fencing, and the availability of ready, back-up forces in close proximity to the Capitol,” said Pittman, whose agency provides security for Congress. Pelosi took no immediate stance about Pittman’s proposal for permanent fencing. Drew Hammill, the speaker’s spokesperson, said she would await a Capitol security review led by retired Lt. Gen. Russel Honoré “to understand what infrastructure changes are necessary.” Senate Majority Leader Chuck Schumer, D-N.Y., took the same approach, telling reporters he would “defer to the experts.” Others panned the permanent fencing suggestion. Rep. Elise Stefanik, R-N.Y., said she was “adamantly opposed” and had heard no justification for its need. First-term Rep. Jake Auchincloss, D-Mass., a former Marine, said it would be wrong to turn the Capitol into a ”fortress.” The public is barred from carrying firearms on Capitol grounds. Members of Congress can keep guns in their offices or transport them on the campus if they’re unloaded and securely wrapped. The Associated Press contributed to this article: Reporting by Alan Fram."
80,"‘Nobody gave up on me’: Son, officer save man’s life after his heart stopped beating",0.0,45.33,https://www.newsnationnow.com/heroes/son-police-officer-save-local-mans-life-after-his-heart-stopped-beating/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,"HIGH POINT, N.C. (WGHP) — A North Carolina couple will never forget July 27, 2020. Around 4:30 a.m., Patricia Middlebrooks awoke to a strange noise coming from her husband, Bobby. “It scared me, so I got up and cut the bathroom light on, and I watched him,” Middlebrooks said. “He was still breathing real shallow-like.” She yelled for their son who was asleep in another room, and the pair called 911. “They told him to massage his heart, which we didn’t know CPR,” Middlebrooks said. “So we moved the bed over and laid him flat on the floor because that was the instruction, and my son was counting, pressing on his chest. And I was just overwhelmed with what I was looking at.” Just a few blocks away, High Point Police Officer Derik Huffman heard the call come over the radio and raced over. “Usually we get there and EMS has already beat us there. But this time, I was the first on the scene,” Huffman said. “Due to the severity of the call, training just kicked in.” By the time Huffman got into the bedroom, Bobby wasn’t breathing and didn’t have a heartbeat.“The son was trying to do CPR, and I could hear the dispatcher (on speakerphone) explaining to them CPR, and I remember using that, using the reps as I was doing CPR because I could hear her just giving out the cadence to stay on to,” Huffman said. He said it “was a matter of maybe a minute” or two until his partner, Master Officer Robyn Shute, arrived. “I said, ‘OK, I’ll take over now,’ and he stood up and I could tell he was out of breath,” Shute said. “You don’t realize when you’re training, but when you’re in the moment and doing real compressions on a real person, it’s a lot harder than you think it is.” The two worked together until EMS arrived.They took over. They hit him one time with an electroshock, and you could just hear him take this breath, like “a loud snoring breath,” Huffman said. “And just this big rush of relief comes over you at that time because you know that he’s now breathing on his own.”EMS told the officers had they not started chest compressions when they did, Bobby likely wouldn’t have survived. Bobby was placed in a medically induced coma for 24 hours and spent six weeks recovering in the hospital and getting stronger. Six months later, Bobby has a pacemaker and visits the hospital multiple times a week to participate in a heart health program. Bobby doesn’t remember the ordeal, but he and his wife are very aware this could’ve had a much different outcome. “I did make it back. I did receive that kind of attention,” Bobby said. “Nobody gave up on me, and it worked out for my benefit.” “I know God put these people in place for this. I knew he had the right people to do the job,” Patricia said. “I couldn’t ask for two better people to walk through the door.”"
81,"Fauci warns virus variants are ‘a wake-up call’, scientists must be ready to tweak vaccines",0.0,43.67,https://www.newsnationnow.com/health/coronavirus/bidens-covid-19-response-team-to-brief-public-after-south-africa-variant-detected/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,"WASHINGTON (NewsNation Now) — A team of scientists and public health experts assembled by President Joe Biden briefed the public on the nation’s COVID-19 response efforts Friday, just one day after a new variant was identified in the U.S. Dr. Anthony Fauci said the emergence and increasing spread of coronavirus mutations means that vaccine makers must be ready to make new shots to stay ahead of the public health crisis. “You can be almost certain that as long as there is a lot of virus circulating in the community, there will be the evolution of mutants, because that is what viruses do,” the government’s top infectious disease expert said Friday. “This is a wake-up call to all of us,” says Fauci, noting government scientists will be working to keep pace with virus mutations. The nature of viruses is to change in ways that promote their spread, Fauci says. The evolution of mutant versions means scientists need to be “nimble” and ready to make tweaks to vaccines. So far, the mutants haven’t overwhelmed the protective power of vaccines. Moderna said Monday that its vaccine is effective against emerging variants of coronavirus that have appeared in the United Kingdom and South Africa. But it said it would test a vaccine booster and an altered booster against the South African variant in pre-clinical trials to see if that would be more effective in boosting antibodies against the variant and other future variants. Fauci also said the latest results of the Johnson & Johnson vaccine trial were “encouraging”. J&J said Friday that in the U.S. and seven other countries, the single-shot vaccine was 66% effective overall at preventing moderate to severe illness, and much more protective — 85% — against the most serious symptoms. Fauci urged people to look beyond the vaccine to vaccine efficacy results, noting “is a single shot vaccine in which you start to see efficacy anywhere from seven to 10 days.” Senior advisor Andy Slavitt said seven states had provided the first vaccine dose to more than 10% of their adult populations. The states Slavitt listed were: Alaska, West Virginia, New Mexico, Connecticut, North Dakota, Oklahoma and South Dakota. The White House COVID-19 Response Team held a briefing earlier this week, when the variant first identified in South Africa hadn’t yet been detected in the country. State health officials in South Carolina confirmed two cases of the strain on Thursday. Public health officials said it’s almost certain that there are more infections that have not been identified yet. They’ve also expressed concern that this version spreads more easily and that vaccines could be less effective against it. The two cases were discovered in adults in different regions of the state and do not appear to be connected. Neither of the people infected has traveled recently, the South Carolina Department of Health and Environmental Control said Thursday. South Africa first detected the variant in October. Since then, it’s been found in at least 30 other countries. Viruses are constantly mutating, with coronavirus variants circulating around the globe, but scientists are primarily concerned with the emergence of three of them. Other variants first reported in the United Kingdom and Brazil were previously confirmed in the U.S. Some tests suggest the South African and Brazilian variants may be less susceptible to antibody drugs or antibody-rich blood from COVID-19 survivors, both of which help people fight off the virus. The Associated Press contributed to this report."
82,Limited indoor dining in NYC restaurants to make return on Valentine’s Day,0.0,47.33,https://www.newsnationnow.com/us-news/northeast/limited-indoor-dining-in-nyc-restaurants-to-make-return-on-valentines-day/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,"NEW YORK (NewsNation Now) — After a monthslong ban, indoor dining at New York City restaurants will return by Valentine’s Day at 25% capacity if infection rates continue to drop, Gov. Andrew Cuomo said Friday. New York City is home to roughly 24,000 restaurants, and many owners have complained that the ban that went into effect Dec. 14 was destroying their livelihoods. At the current trajectory of coronavirus rates for the state, indoor dining is projected to resume Feb. 14 reported NewsNation affiliate WPIX. Cuomo said the timing also allows restaurants a period of time to prepare before reopening. The announcement follows the easing of restrictions Wednesday in other parts of the state where Cuomo erased the handful of remaining “orange zones” where tougher pandemic restrictions had been in place because of the fast spread of COVID-19. The orange zones had been in central and western New York, Staten Island and Westchester County. Cuomo said he’s launching several yellow zones, which require schools to launch testing programs, in certain New York City neighborhoods and a part of Orange County where hospitalizations and infections are increasing. Now, outside of the yellow zones, the entire state faces most of the same COVID-19 restrictions: from a 10-person limit on private residential gatherings to a 10 p.m. curfew for restaurants and bars, to a 50% capacity limit for houses of worship. “We’re talking about livelihoods and the economy and billions of dollars,” said Cuomo Wednesday. “We make decisions based on the facts today… The holiday surge came. The holiday surge is over. We’re not back to where we were but nobody’s back to where we were.” The Democrat cited a post-holiday dip in the number of infections, after a period in which rates had surged to more than 114,000 new cases in one week. Statewide COVID-19 hospitalizations have dropped by 916 since Jan. 19 to 8,357. “All the models project that numbers to continue to drop,” Cuomo said Friday. But many restaurant owners were hoping to open up sooner. “Restaurants are broken hearted that they need to wait two weeks until Valentine’s Day to open at only 25% occupancy in the city, while permitting 50% occupancy in dining rooms around the rest of the state where infections and hospitalization rates from COVID-19 are higher,” Andrew Rigie, executive director of the NYC Hospitality Alliance, said in a release. On Friday, Cuomo also said the 50-person limit on wedding receptions is set to be raised to 150 people on March 15, as long as the venue remains at 50% capacity or under. The celebrations must be approved by the local health department, and everybody who attends needs to take a COVID-19 test, according to the governor. “Promise of marital bliss is returning,” Cuomo said. The Associated Press contributed to this article: Marina Villeneuve reporting."
83,"Trading white collars for red ballcaps: Execs work as Raising Cane’s cooks, cashiers",0.0,46.0,https://www.newsnationnow.com/business/raising-canes-labor-shortage/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,"BATON ROUGE, La. (NewsNation Now) — Raising Cane’s Chicken Fingers is sending members of its corporate staff to work as fry cooks and cashiers as the fast-food chain deals with a major staffing shortage, according to Bloomberg. Starting this week, Bloomberg reports about half of Raising Cane’s office employees will help fill in at the company’s restaurants. The Louisiana-based restaurant chain is trying to hire 10,000 new workers over the next 50 days at locations across the country. “The first thing we teach new hires at Cane’s is that we are all Fry Cooks & Cashiers, and this week, we are proving that,” said chief operating officer AJ Kumaran in a statement published by QSR magazine. Raising Cane’s is just one of many employers struggling to find workers to fill a surge in job openings — with a record 10.9 million reported nationwide in July. “It’s no secret that today’s hiring market is a challenge,” Kumaran in a statement obtained by Bloomberg. “Ahead of our massive growth next year, having the support we need is critical.” Massive aid from the federal government and the rollout of vaccines has supported an economic recovery, providing consumers with the financial wherewithal to spend and the confidence to return to restaurants, bars and shops. The number of Americans seeking unemployment benefits dipped last week to 326,000, in another sign that the U.S. job market and economy continue their steady recovery from last year’s coronavirus recession. However, they are still above the 200,000-250,000 range that is viewed as consistent with a healthy labor market. Raising Cane’s has 530 locations across the country. The Associated Press contributed to this report."
84,"Tulsa city leaders offering $10,000 to people willing to relocate",0.0,46.67,https://www.newsnationnow.com/us-news/southeast/tulsa-city-leaders-offering-10000-to-people-willing-to-relocate/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25,"TULSA, Okla. (NewsNation Now) — The coronavirus pandemic led leaders from many companies to announce employees will continue to work from home this year. Thanks to technology, many people can work almost anywhere, and now city leaders in Tulsa, Oklahoma, are trying to capitalize on that trend. City leaders are offering people $10,000 to relocate to Tulsa. Nestled between the Osage Hills and the Ozark Mountains, about 100 miles northeast of Oklahoma City, lies Tulsa. It’s the state’s second-largest city, and it bears a storied past, from its Native American settling and the Tulsa Race Massacre of 1921 to the drilling boom that made it the “oil capital of the world.” It’s a utopia for those torn between wanting big-city splendors and the charms of small-town life. “We’ve got a top 10 opera in the nation, we’ve got a beautiful ballet, we’ve got museums,” said Grant Bumgarner, Tulsa Remote’s community manager. “We’ve got incredible amenities; the only difference is they’re cheaper and easier to get to, and there’s a stronger community built around them. In the language of the Creek Tribe, Tulsa means “old town,” and in an effort to bring new life, diversity, and perspective to the energy-sector city, Tulsa visionaries created Tulsa Remote. “We basically pay people $10,000 to do the job they’re already doing, just from Tulsa, for one year,” Bumgarner explained. That’s right, Tulsa Remote will pay people $10,000 to move to the city and continue to work remotely. The program quickly became appealing to candidates like Obum Ukabam and Bobby Reyes.“It did seem too good to be true, and one day when I was going to work on the bus, it was like six o’clock, I was like, why not. So, I filled out the application, did everything, and sent it off,” said Reyes. “It was destiny, I was destined to find it—because I found it on a Facebook post that I could have just missed,” said Obum. Both men got accepted. Ukabam moved from California two years ago; he’s one of the original Tulsa Remote members. He worked his remote gig for about a year before landing a job at Tulsa’s Holberton School for aspiring software engineers who dream of making it big in Silicon Valley. “I remember looking over at my wife, and I said, ‘This city looks pretty cool, this program looks pretty cool; if I get in would you consider uprooting our lives and moving to Oklahoma? Is that okay?’ and she was like ‘yeah,’” said Ukabam. Reyes is a new member and software designer. He and his partner moved in November, uprooting a comfortable life in Chicago to take a chance on Tulsa. He says he’s been pleasantly surprised by the city’s people, opportunities, and Tulsa’s food scene. “Except for like deep dish (pizza), that’s a really big thing for me. I had to deliver Lou Malnati’s here, so for pizza Friday that’s like what we do,” Reyes said. Reyes and Ukabam are two of more than 400 Tulsa remotes. Bumgarner helps choose applicants; he says the program has exploded. “We were surprised, we thought maybe the first year we’d bring in 20-25 people. We ended up bringing in 70 people out of 10,000 applicants the first year, and the second year we brought in over 350 individuals from those 25,000 applications,” Bumgarner said. In its third year, Tulsa Remote now has a lower acceptance rate than any college in the country, with less than 2% of applicants getting accepted. “We have people from bankers to software engineers to opera singers from Japan,” Bumgarner said. Although there have been restrictions due to the COVID1-19 pandemic, Ukabam and Reyes are finding new and individual ways of getting involved and expanding Tulsa’s horizons. In return, they’re taking advantage of all that’s at their fingertips. “The things that you would think you would miss in other cities are here, that’s the misconception. We went to concerts, sports engagements, ballet, things we didn’t even get to do in California because of the cost of living,” Ukabam said. Both are now planting new roots in Oklahoma soil. Get fact-based, unbiased news coverage 24/7 with the NewsNation app. Download it here. “Yeah, I think it’s home, you know, and I think home will always be where you create it, right, said Reyes said. All from an online ad they happened to scroll across—promising a payday with an even sweeter adventure. “I feel like myself; I’m able to explode into what I’m destined to do, Ukabam said. “I feel like I’m really here reaching my destiny, this is the place I need to be, so I’m here to stay.” Both men say that $10,000 was a great incentive but that their desire for a fresh start was greater. For those who are interested, Tulsa Remote is currently taking applications for 2021; click here to apply."
