,title,bias_score,reliability_score,article_url,adfontes_url,date,outlet,outlet_story_count,content
75,Comic-Con returns to New York City for hybrid event,0.0,45.0,https://www.newsnationnow.com/us-news/northeast/comic-con-returns-to-new-york-city-for-hybrid-event/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,
76,"Dr. Anthony Fauci responds to criticism of Wuhan lab funding, release of thousands of his emails",3.67,44.0,https://www.newsnationnow.com/the-donlon-report/dr-anthony-fauci-responds-to-criticism-of-wuhan-lab-funding-release-of-thousands-of-his-emails/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-06-02,www.newsnationnow.com,25,
77,Workers start looking for alternative jobs as Biden administration moves to clean energy,0.33,39.0,https://www.newsnationnow.com/politics/biden-100days/workers-start-looking-for-alternative-jobs-as-biden-administration-moves-to-clean-energy/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25,
78,Beto O’Rourke considering run for Texas governor,-2.33,40.33,https://www.newsnationnow.com/us-news/southwest/beto-orourke-considering-run-for-texas-governor/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,
79,Capitol Police bolstering travel security for lawmakers,-4.33,44.33,https://www.newsnationnow.com/politics/capitol-police-bolstering-travel-security-for-lawmakers/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,
80,"‘Nobody gave up on me’: Son, officer save man’s life after his heart stopped beating",0.0,45.33,https://www.newsnationnow.com/heroes/son-police-officer-save-local-mans-life-after-his-heart-stopped-beating/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,
81,"Fauci warns virus variants are ‘a wake-up call’, scientists must be ready to tweak vaccines",0.0,43.67,https://www.newsnationnow.com/health/coronavirus/bidens-covid-19-response-team-to-brief-public-after-south-africa-variant-detected/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,
82,Limited indoor dining in NYC restaurants to make return on Valentine’s Day,0.0,47.33,https://www.newsnationnow.com/us-news/northeast/limited-indoor-dining-in-nyc-restaurants-to-make-return-on-valentines-day/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-29,www.newsnationnow.com,25,
83,"Trading white collars for red ballcaps: Execs work as Raising Cane’s cooks, cashiers",0.0,46.0,https://www.newsnationnow.com/business/raising-canes-labor-shortage/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,
84,"Tulsa city leaders offering $10,000 to people willing to relocate",0.0,46.67,https://www.newsnationnow.com/us-news/southeast/tulsa-city-leaders-offering-10000-to-people-willing-to-relocate/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-28,www.newsnationnow.com,25,
85,Supply crisis drives Walmart and rivals to hire their own ships,0.0,45.67,https://www.newsnationnow.com/business/supply-crisis-drives-walmart-and-rivals-to-hire-their-own-ships/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,
86,Zodiac Killer: Police refute investigators’ claims they found the serial murderer,0.0,41.67,https://www.newsnationnow.com/us-news/zodiac-killer-police-refute-investigators-claims-they-found-the-serial-murderer/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25,
87,When can my kid get vaccinated? Here’s what we know,-1.0,47.33,https://www.newsnationnow.com/us-news/when-can-my-kid-get-vaccinated-heres-what-we-know/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,
88,Laundrie family changes story on when they last saw Brian,0.0,39.33,https://www.newsnationnow.com/us-news/gabby-petito-missing-case/gabby-petito-case-attorney-explains-why-brian-laundrie-left-in-middle-of-road-trip/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-05,www.newsnationnow.com,25,
89,Brian Laundrie's sister clarifies timeline,0.0,35.0,https://www.newsnationnow.com/us-news/gabby-petito-missing-case/newsnation-exclusive-brian-laundries-sister-says-her-brother-flew-home-aug-17-saw-family-sept-1/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-04,www.newsnationnow.com,25,
90,Missing in America: Lauren Cho ‘walked away’ from her California Airbnb,0.0,40.33,https://www.newsnationnow.com/missing/lauren-cho-missing-in-america/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25,
91,Wiretaps of alleged ringleader in college admissions scandal played in court,0.0,40.67,https://www.newsnationnow.com/sports/wiretaps-of-alleged-ringleader-in-college-admissions-scandal-played-in-court/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-06,www.newsnationnow.com,25,
92,"‘Why are you attacking me?’: Transgender girl, 8, asks Texas lawmakers to oppose sports ban bill",-3.0,45.67,https://www.newsnationnow.com/us-news/southwest/why-are-you-attacking-me-transgender-girl-8-asks-texas-lawmakers-to-oppose-sports-ban-bill/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25,
93,2 dead in shooting at senior living facility in Maryland,0.0,48.67,https://www.newsnationnow.com/us-news/northeast/2-dead-in-shooting-at-senior-living-facility-in-maryland/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25,
94,"Neighbor blasting ‘horribly offensive’ sounds from home has stopped, Virginia police say",-1.67,48.33,https://www.newsnationnow.com/us-news/southeast/neighbor-blasting-horribly-offensive-sounds-from-home-has-stopped-virginia-police-say/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25,
95,City in Michigan urged to use bottled water due to lead risk,0.0,47.33,https://www.newsnationnow.com/health/city-in-michigan-urged-to-use-bottled-water-due-to-lead-risk/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-08,www.newsnationnow.com,25,
96,Trump to leave Washington on morning of Biden’s inauguration,-1.0,45.67,https://www.newsnationnow.com/politics/transition/trump-to-leave-washington-on-morning-of-bidens-inauguration/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-01-15,www.newsnationnow.com,25,
97,News Across America: Death row inmate sues Tampa police after wrongful conviction and a kidney transplant halted by COVID vaccine,0.0,45.0,https://www.newsnationnow.com/morninginamerica/news-across-america-death-row-inmate-sues-tampa-police-after-wrongful-conviction-and-kidney-transplant-halted-by-covid-vaccine/,https://adfontesmedia.com/newsnation-now-bias-reliability/,2021-10-07,www.newsnationnow.com,25,
