,url,bias_class,reliability_class,reliability_score,bias_score,outlet,outlet_labels,adfontes_url
1,https://adfontesmedia.com/19th-news-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",45.18,-9.89,19th News,2,https://adfontesmedia.com/19th-news-bias-and-reliability/
2,https://adfontesmedia.com/abc-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.65,-4.69,ABC News,2,https://adfontesmedia.com/abc-news-bias-and-reliability/
3,https://adfontesmedia.com/advocate-magazine-bias-and-reliability-2/,skews left,"generally reliable, analysis or other issues",37.78,-15.03,Advocate Magazine,1,https://adfontesmedia.com/advocate-magazine-bias-and-reliability-2/
4,https://adfontesmedia.com/agence-france-presse-bias-reliability/,middle,"reliable, fact reporting",48.05,-2.01,Agence France-Presse,2,https://adfontesmedia.com/agence-france-presse-bias-reliability/
5,https://adfontesmedia.com/al-com-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.6,-1.56,AL.com,2,https://adfontesmedia.com/al-com-bias-and-reliability/
6,https://adfontesmedia.com/al-jazeera-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.69,-4.82,Al Jazeera,2,https://adfontesmedia.com/al-jazeera-bias-and-reliability/
7,https://adfontesmedia.com/alex-jones-show-bias-and-reliability/,most extreme right,"unreliable, inaccurate",6.67,31.67,The Alex Jones Show,0,https://adfontesmedia.com/alex-jones-show-bias-and-reliability/
8,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",38.17,-16.0,All In with Chris Hayes,1,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/
9,https://adfontesmedia.com/alternet-bias-and-reliability/,hyper-partisan left,"unreliable, problematic",23.28,-19.34,AlterNet,0,https://adfontesmedia.com/alternet-bias-and-reliability/
10,https://adfontesmedia.com/american-conservative-bias-and-reliability/,skews right,"generally reliable, analysis or other issues",32.58,13.66,The American Conservative,1,https://adfontesmedia.com/american-conservative-bias-and-reliability/
11,https://adfontesmedia.com/american-greatness-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",19.75,23.09,American Greatness,0,https://adfontesmedia.com/american-greatness-bias-and-reliability/
12,https://adfontesmedia.com/american-independent-bias-reliability/,skews left,"generally reliable, analysis or other issues",38.49,-14.71,American Independent,1,https://adfontesmedia.com/american-independent-bias-reliability/
13,https://adfontesmedia.com/american-prospect-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",35.21,-14.92,American Prospect,1,https://adfontesmedia.com/american-prospect-bias-and-reliability/
14,https://adfontesmedia.com/american-spectator-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",20.41,23.07,The American Spectator,0,https://adfontesmedia.com/american-spectator-bias-and-reliability/
15,https://adfontesmedia.com/american-thinker-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",19.08,25.29,American Thinker,0,https://adfontesmedia.com/american-thinker-bias-and-reliability/
16,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",38.71,-13.52,Anderson Cooper 360,1,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/
17,https://adfontesmedia.com/ap-bias-and-reliability/,middle,"reliable, fact reporting",49.36,-2.12,AP,2,https://adfontesmedia.com/ap-bias-and-reliability/
18,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.91,-2.07,Arizona Daily Star,2,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/
19,https://adfontesmedia.com/army-times-bias-and-reliability/,middle,"reliable, fact reporting",47.8,0.31,Army Times,2,https://adfontesmedia.com/army-times-bias-and-reliability/
20,https://adfontesmedia.com/ars-technica-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.2,-2.05,ARS Technica,2,https://adfontesmedia.com/ars-technica-bias-and-reliability/
21,https://adfontesmedia.com/aspen-times-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.32,-0.32,Aspen Times,2,https://adfontesmedia.com/aspen-times-bias-and-reliability/
22,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.68,-4.95,Atlanta Black Star,2,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/
23,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.43,-3.27,Atlanta Journal-Constitution,2,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/
24,https://adfontesmedia.com/axios-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.67,-3.97,Axios,2,https://adfontesmedia.com/axios-bias-and-reliability/
25,https://adfontesmedia.com/az-central-bias-and-reliability/,middle,"reliable, analysis/fact reporting",43.55,-5.12,AZ Central,1,https://adfontesmedia.com/az-central-bias-and-reliability/
26,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.78,-5.53,Baltimore Sun,2,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/
